Datetime,Open,High,Low,Close
2001-05-22 13:02,0.5239,0.524,0.5239,0.524
2001-05-22 13:03,0.5241,0.5241,0.524,0.524
2001-05-22 13:10,0.5241,0.5244,0.5241,0.5243
2001-05-22 13:11,0.5242,0.5243,0.5242,0.5243
2001-05-22 13:12,0.5244,0.5244,0.5244,0.5244
2001-05-22 13:13,0.5243,0.5243,0.5243,0.5243
2001-05-22 13:16,0.5243,0.5243,0.5243,0.5243
2001-05-22 13:19,0.5243,0.5243,0.5243,0.5243
2001-05-22 13:23,0.5242,0.5242,0.5242,0.5242
2001-05-22 13:27,0.5243,0.5246,0.5243,0.5246
2001-05-22 13:28,0.5244,0.5244,0.5244,0.5244
2001-05-22 13:35,0.5243,0.5243,0.5242,0.5242
2001-05-22 13:36,0.5243,0.5243,0.5243,0.5243
2001-05-22 13:38,0.5244,0.5246,0.5244,0.5245
2001-05-22 13:39,0.5246,0.5247,0.5246,0.5247
2001-05-22 13:40,0.5246,0.5246,0.5246,0.5246
2001-05-22 13:41,0.5245,0.5245,0.5245,0.5245
2001-05-22 13:42,0.5246,0.5246,0.5246,0.5246
2001-05-22 13:43,0.5245,0.5245,0.5244,0.5245
2001-05-22 13:44,0.5246,0.5246,0.5246,0.5246
2001-05-22 13:47,0.5247,0.5248,0.5247,0.5248
2001-05-22 13:48,0.5249,0.525,0.5249,0.5249
2001-05-22 13:49,0.525,0.5251,0.525,0.5251
2001-05-22 13:50,0.525,0.525,0.5249,0.5249
2001-05-22 13:52,0.525,0.525,0.525,0.525
2001-05-22 13:58,0.5249,0.525,0.5249,0.525
2001-05-22 14:01,0.5249,0.5249,0.5249,0.5249
2001-05-22 14:07,0.5248,0.5248,0.5248,0.5248
2001-05-22 14:09,0.5247,0.5247,0.5247,0.5247
2001-05-22 14:11,0.5246,0.5246,0.5246,0.5246
2001-05-22 14:12,0.5247,0.5247,0.5245,0.5245
2001-05-22 14:13,0.5246,0.5246,0.5246,0.5246
2001-05-22 14:15,0.5247,0.5247,0.5247,0.5247
2001-05-22 14:16,0.5246,0.5247,0.5246,0.5247
2001-05-22 14:17,0.5246,0.5246,0.5246,0.5246
2001-05-22 14:18,0.5246,0.5246,0.5246,0.5246
2001-05-22 14:19,0.5247,0.5248,0.5247,0.5248
2001-05-22 14:20,0.5249,0.5249,0.5249,0.5249
2001-05-22 14:25,0.525,0.5253,0.525,0.5252
2001-05-22 14:26,0.5253,0.5253,0.5253,0.5253
2001-05-22 14:28,0.5252,0.5252,0.5251,0.5251
2001-05-22 14:31,0.5252,0.5253,0.5252,0.5253
2001-05-22 14:35,0.5252,0.5252,0.5252,0.5252
2001-05-22 14:36,0.5253,0.5253,0.5253,0.5253
2001-05-22 14:37,0.5254,0.5254,0.5253,0.5254
2001-05-22 14:46,0.5253,0.5253,0.5253,0.5253
2001-05-22 14:59,0.5252,0.5252,0.525,0.525
2001-05-22 15:06,0.5249,0.5249,0.5249,0.5249
2001-05-22 15:08,0.5248,0.5248,0.5248,0.5248
2001-05-22 15:15,0.5247,0.5247,0.5246,0.5246
2001-05-22 15:19,0.5245,0.5245,0.5245,0.5245
